id,username,created_at,lng,lat,text
1516461684151525378,Crosby71,Tue Apr 19 17:00:14 +0000 2022,-3.0044560000000002,53.4698505,"@AdamBienkov Sorry but shouldn't she be concentrating on the UKs failing economy, at least be seen to help those th… https://t.co/jsYU4lTSb3"
1516461685674070019,StephenShanaha7,Tue Apr 19 17:00:15 +0000 2022,-2.3495665,53.475303499999995,@cold957 Beautiful
1516461686315696128,exmoorjane,Tue Apr 19 17:00:15 +0000 2022,-3.5148764999999997,50.72094,@fantasticpru @StarCur1 I have exit envy.
1516461688941420557,robstaton,Tue Apr 19 17:00:15 +0000 2022,-1.6364945,52.806216,Will be good this… send in your questions for Neil @BBCSheffield
1516461693127307269,ochkenny,Tue Apr 19 17:00:16 +0000 2022,-3.452863,56.06718,@BrianSpanner1 So @marceldirsus has just said.
1516461695308378112,clealakes,Tue Apr 19 17:00:17 +0000 2022,-5.6650741,54.4110584,"17:50 Temp. 13.4°C, Hum. 59%, Dewp. 4.5°C, Bar. 1018 hpa, Rain Today 0.1000 mm, Wind 171° 4.0 km/h"
1516461696419835909,uberALFRED,Tue Apr 19 17:00:17 +0000 2022,-0.0601675,51.547644500000004,Why does my uniform take a more than a month to arrive?????? 🙃
1516461697640325124,Kranitoko,Tue Apr 19 17:00:17 +0000 2022,-2.1213295,51.4616195,"It's mad to think that if someone worked for 40 ish years earning somewhere between £25-30k a year, they'll have ea… https://t.co/1eaxzPOO3j"
1516461700786098178,Bazouteast1,Tue Apr 19 17:00:18 +0000 2022,0.07886299999999999,51.584990000000005,"@Kevin_Maguire But 🤡 just ignores everything, with the support of (most of) his spineless mates."
1516461703474597899,BallyhaunisWX,Tue Apr 19 17:00:19 +0000 2022,-8.71508189,53.78044718,"17:46 Temp. 12.4°C, Hum. 76%, Dewp. 7.3°C, Bar. 1030.7 hpa, Rain Today 5.7000 mm, Wind 313° 6.8 km/h"
1516461706486198277,Christi06828636,Tue Apr 19 17:00:19 +0000 2022,-0.7640635,52.033567000000005,Starmer  never mentions  Ukraine  because he knows Borris  is doing great there
1516461706993672193,NeilDrysdale,Tue Apr 19 17:00:20 +0000 2022,-2.1270405,57.160556,"@ilovechippans Nope, lived in a street which was unfortunately named after former provost Jimmy Dick!"
